combination,correlation,,,,
dont_cross_home + home_row + columns + strong_fingers,-0.057119014,,,,
hands + skip_fingers + home_row + strum + strong_fingers,-0.056983821,,,,
fingers + skip_fingers + home_row + columns + strum,-0.056751087,,,,
fingers + dont_cross_home + home_row + columns + strum,-0.055986799,,,,
skip_fingers + strum,-0.055420604,,,,
fingers + home_row + strong_fingers,-0.054992996,,,,
same_row + home_row + strum + strong_fingers,-0.05441731,,,,
dont_cross_home + home_row + strum,-0.054373808,,,,
skip_fingers + home_row + columns + strum,-0.053888647,,,,
columns + strum + strong_fingers,0.053498699,,,,
skip_fingers + columns + strong_fingers,-0.053099387,,,,
hands + fingers + skip_fingers + dont_cross_home + strum + strong_fingers,-0.053070512,,,,
skip_fingers + strong_fingers,-0.051587991,,,,
fingers + dont_cross_home + home_row + strum + strong_fingers,-0.051585838,,,,
fingers + dont_cross_home + strum,-0.051261093,,,,
hands + home_row + columns + strum + strong_fingers,-0.050858487,,,,
hands + skip_fingers + dont_cross_home + columns + strum + strong_fingers,-0.050831413,,,,
fingers + skip_fingers + home_row + strum + strong_fingers,-0.050745597,,,,
same_row + strum,-0.050703528,,,,
fingers + skip_fingers + columns + strum,-0.050567529,,,,
fingers + skip_fingers + home_row + columns + strum + strong_fingers,-0.050414745,,,,
dont_cross_home + home_row + columns + strum,-0.050270136,,,,
same_row + columns + strong_fingers,-0.049457882,,,,
fingers + dont_cross_home + home_row + columns + strum + strong_fingers,-0.04893394,,,,
hands + fingers + dont_cross_home + columns + strum + strong_fingers,-0.048825911,,,,
fingers + skip_fingers + dont_cross_home + columns + strum + strong_fingers,-0.048759634,,,,
fingers + same_row + columns + strum,-0.048476999,,,,
hands + home_row + strum + strong_fingers,-0.048469428,,,,
fingers + home_row + columns + strong_fingers,-0.048222049,,,,
hands + columns + strong_fingers,-0.047822803,,,,
hands + skip_fingers + dont_cross_home + strum + strong_fingers,-0.04761595,,,,
fingers + skip_fingers + dont_cross_home + strum + strong_fingers,-0.047199671,,,,
skip_fingers + columns + strum,-0.046825088,,,,
hands + strong_fingers,-0.045060028,,,,
skip_fingers + home_row + strum + strong_fingers,-0.044704064,,,,
hands + fingers + dont_cross_home + strum + strong_fingers,-0.044637525,,,,
skip_fingers + home_row + columns + strum + strong_fingers,-0.04447912,,,,
dont_cross_home + home_row + strum + strong_fingers,-0.044470899,,,,
fingers + dont_cross_home + columns + strum,-0.044204492,,,,
dont_cross_home + strum,-0.043997365,,,,
fingers + same_row + strum + strong_fingers,-0.043915709,,,,
home_row + columns,-0.043638609,,,,
same_row + home_row + columns + strum + strong_fingers,-0.04349966,,,,
fingers + columns,-0.042988246,,,,
strum + strong_fingers,0.042939951,,,,
hands + fingers + skip_fingers + columns + strum + strong_fingers,-0.042375568,,,,
skip_fingers + dont_cross_home + columns + strum + strong_fingers,-0.042330587,,,,
skip_fingers + dont_cross_home + strum + strong_fingers,-0.041715597,,,,
dont_cross_home + home_row + columns + strum + strong_fingers,-0.040629206,,,,
hands + fingers + columns + strum + strong_fingers,-0.039556641,,,,
fingers + columns + strum + strong_fingers,0.038874602,,,,
hands + dont_cross_home + columns + strum + strong_fingers,-0.038775528,,,,
hands + fingers + skip_fingers + strum + strong_fingers,-0.038217409,,,,
dont_cross_home + columns + strum,-0.03650452,,,,
hands + dont_cross_home + strum + strong_fingers,-0.03547647,,,,
hands + fingers + strum + strong_fingers,-0.035384068,,,,
hands + skip_fingers + columns + strum + strong_fingers,-0.035133906,,,,
fingers + same_row + columns + strum + strong_fingers,-0.03405365,,,,
fingers + skip_fingers + columns + strum + strong_fingers,-0.033834537,,,,
columns + strum,0.032658119,,,,
fingers + skip_fingers + strum + strong_fingers,-0.032310756,,,,
same_row + columns + strum,-0.031720825,,,,
hands + skip_fingers + strum + strong_fingers,-0.030604411,,,,
same_row + strum + strong_fingers,-0.028736165,,,,
fingers + dont_cross_home + strum + strong_fingers,-0.028402935,,,,
fingers + strum + strong_fingers,0.027760251,,,,
dont_cross_home + strong_fingers,-0.027705819,,,,
skip_fingers + columns + strum + strong_fingers,-0.02652715,,,,
fingers + home_row + strum,-0.026138692,,,,
fingers + dont_cross_home + columns + strum + strong_fingers,-0.026100694,,,,
hands + columns + strum + strong_fingers,-0.025551841,,,,
skip_fingers + strum + strong_fingers,-0.024663151,,,,
strum,0.024403221,,,,
dont_cross_home + columns + strong_fingers,-0.023935257,,,,
fingers + columns + strum,0.022787331,,,,
hands + strum + strong_fingers,-0.020844446,,,,
home_row + strong_fingers,-0.020747831,,,,
home_row + strum,-0.019819995,,,,
dont_cross_home + strum + strong_fingers,-0.019111236,,,,
columns,0.018929108,,,,
fingers + home_row + strum + strong_fingers,-0.017015997,,,,
dont_cross_home + columns + strum + strong_fingers,-0.015855626,,,,
fingers + home_row + columns + strum,-0.015546761,,,,
same_row + columns + strum + strong_fingers,-0.014457712,,,,
fingers + strum,0.012209291,,,,
fingers + columns + strong_fingers,0.010574431,,,,
home_row + columns + strum,-0.009062059,,,,
fingers + home_row + columns + strum + strong_fingers,-0.008292177,,,,
home_row + columns + strong_fingers,-0.006425125,,,,
home_row + strum + strong_fingers,-0.006132101,,,,
fingers + strong_fingers,0.004832388,,,,
home_row + columns + strum + strong_fingers,0.003088104,,,,
